NSYNC,A Little More Time on You
Christina Perri,A Thousand Years
Lady Gaga,Bad Romance
Van Morrison,Brown Eyed Girl
The Beatles,Can’t Buy Me Love
Elvis Presley,Can’t Help Falling in Love
Frankie Valli and The Four Seasons,Can’t Take My Eyes Off of You
Queen,Crazy Little Thing Called Love
The Beatles,Eight Days A Week
The Beach Boys,God Only Knows
Camila Cabello,Havana
The Beatles,I Want to Hold Your Hand
Backstreet Boys,I Want It That Way
Edwin McCain,I’ll Be
The Beatles,I’m Happy Just to Dance With You
Ellie Goulding,Love Me Like You Do
Rihanna,Love on The Brain
Train,Marry Me
The Police,Message in A Bottle
Ed Sheeran,Perfect
Ed Sheeran,Photograph
James Arthur,Say You Won’t Let Go
Shawn Mendes and Camila Cabello,Señorita
Taylor Swift,Shake It Off
Lady Gaga,Shallow
Walk The Moon,Shut Up and Dance
Michael Jackson,Smooth Criminal
Dan + Shay,Speechless
Jimmy Eat World,The Middle
NSYNC,This I Promise You
Righteous Brothers,Unchained Melody
Howard Blake,Walking in The Air
Chris Isaak,Wicked Game
The Beatles,When I’m Sixty – Four
Traditional Irish,Whiskey in The Jar
The Beatles,Yesterday
Elton John,Your SongBach,Air
Bach,Arioso
Bach,"Cello Suite, Prelude GM"
Bach,Jesu Joy of Mans Desiring
Beethoven,Ode To Joy
Brahms, Hungarian Dance No. 5
Clarke,Trumpet Voluntary
Debussy,Clair De Lune
Delibes,Flower Duet
Handel,Firework Music
Handel,La Paix
Handel,La Rejouissance
Handel,Menuet in D
Handel,Menuet in d minor
Handel,Queen of Sheeba
Handel,Largo from Xerxes
Handel,Water Music
Handel,Air in D
Handel,Air in F
Handel,Bourree in F
Handel,Hornpipe in D
Handel,Hornpipe in F
Handel,Minuet in Gm
Handel,Coro
Massenet,Meditation from Thais
Mendelssohn,Wedding March
Mouret,Roundeau
Mozart,Ave Verum Corpus k618
Mozart,Eine Kleine Nachtmusic
Pachelbel,Canon in D
Purcell,Trumpet Tune
Schubert,Ave Maria
Vivaldi,Spring
Vivaldi,Winter
Wagner,Wedding March
